experiment_id,trial_id,image,image_tag,image_digest,image_id,image_size_bytes,image_size_mb,image_layers,stage,started_at,finished_at,duration_ms,rapl_before_uj,rapl_after_uj,energy_raw_uj,energy_raw_j,baseline_power_w,background_energy_j,energy_corrected_j,average_power_w,cpu_avg_percent,cpu_peak_percent,memory_avg_mb,memory_peak_mb,docker_version,success,error
exp-1789027194,exp-1789027194-t1-ubuntu:latest,ubuntu,latest,sha256:513c074113a871b51a8d16ab445c88779d6452d937a164fb5cc479f32668a41d,sha256:513c074113a871b51a8d16ab445c88779d6452d937a164fb5cc479f32668a41d,41615567,39.69,2,Pull,2026-09-10T14:00:04.331+06:00,2026-09-10T14:00:16.268+06:00,11936,2297483282,2337546045,40062763,40.062763,2.334638,27.867918,12.194845,3.356262,2.65,5.34,4342.03,4362.08,29.7.2,true,
exp-1789027194,exp-1789027194-t1-ubuntu:latest,ubuntu,latest,sha256:513c074113a871b51a8d16ab445c88779d6452d937a164fb5cc479f32668a41d,sha256:513c074113a871b51a8d16ab445c88779d6452d937a164fb5cc479f32668a41d,41615567,39.69,2,Start,2026-09-10T14:00:16.286+06:00,2026-09-10T14:00:16.297+06:00,11,2337863534,2338039580,176046,0.176046,2.334638,0.025948,0.150098,15.839474,0.00,0.00,0.00,0.00,29.7.2,false,"Error response from daemon: Invalid container name (greencontainers-exp-1789027194-t1-ubuntu:latest), only [a-zA-Z0-9][a-zA-Z0-9_.-] are allowed"
exp-1789027194,exp-1789027194-t1-ubuntu:latest,ubuntu,latest,sha256:513c074113a871b51a8d16ab445c88779d6452d937a164fb5cc479f32668a41d,sha256:513c074113a871b51a8d16ab445c88779d6452d937a164fb5cc479f32668a41d,41615567,39.69,2,Stop,2026-09-10T14:00:16.297+06:00,2026-09-10T14:00:16.297+06:00,0,2338039580,2338039580,0,0.000000,2.334638,0.000733,0.000000,0.000000,0.00,0.00,0.00,0.00,29.7.2,false,Error response from daemon: No such container: greencontainers-exp-1789027194-t1-ubuntu:latest
exp-1789027194,exp-1789027194-t1-ubuntu:latest,ubuntu,latest,sha256:513c074113a871b51a8d16ab445c88779d6452d937a164fb5cc479f32668a41d,sha256:513c074113a871b51a8d16ab445c88779d6452d937a164fb5cc479f32668a41d,41615567,39.69,2,Cleanup,2026-09-10T14:00:16.297+06:00,2026-09-10T14:00:16.409+06:00,111,2338039580,2338990764,951184,0.951184,2.334638,0.260375,0.690809,8.528744,0.00,0.00,0.00,0.00,29.7.2,false,Error response from daemon: No such container: greencontainers-exp-1789027194-t1-ubuntu:latest
exp-1789027194,exp-1789027194-t1-alpine:latest,alpine,latest,sha256:28bd5fe8b56d1bd048e5babf5b10710ebe0bae67db86916198a6eec434943f8b,sha256:28bd5fe8b56d1bd048e5babf5b10710ebe0bae67db86916198a6eec434943f8b,3857242,3.68,1,Pull,2026-09-10T14:00:16.409+06:00,2026-09-10T14:00:25.873+06:00,9463,2338990764,2361005449,22014685,22.014685,2.334638,22.094863,0.000000,2.326166,1.48,2.82,4370.69,4377.82,29.7.2,true,
exp-1789027194,exp-1789027194-t1-alpine:latest,alpine,latest,sha256:28bd5fe8b56d1bd048e5babf5b10710ebe0bae67db86916198a6eec434943f8b,sha256:28bd5fe8b56d1bd048e5babf5b10710ebe0bae67db86916198a6eec434943f8b,3857242,3.68,1,Start,2026-09-10T14:00:25.898+06:00,2026-09-10T14:00:25.908+06:00,10,2361260807,2361433009,172202,0.172202,2.334638,0.025413,0.146789,15.819694,0.00,0.00,0.00,0.00,29.7.2,false,"Error response from daemon: Invalid container name (greencontainers-exp-1789027194-t1-alpine:latest), only [a-zA-Z0-9][a-zA-Z0-9_.-] are allowed"
exp-1789027194,exp-1789027194-t1-alpine:latest,alpine,latest,sha256:28bd5fe8b56d1bd048e5babf5b10710ebe0bae67db86916198a6eec434943f8b,sha256:28bd5fe8b56d1bd048e5babf5b10710ebe0bae67db86916198a6eec434943f8b,3857242,3.68,1,Stop,2026-09-10T14:00:25.909+06:00,2026-09-10T14:00:25.909+06:00,0,2361433009,2361433009,0,0.000000,2.334638,0.000626,0.000000,0.000000,0.00,0.00,0.00,0.00,29.7.2,false,Error response from daemon: No such container: greencontainers-exp-1789027194-t1-alpine:latest
exp-1789027194,exp-1789027194-t1-alpine:latest,alpine,latest,sha256:28bd5fe8b56d1bd048e5babf5b10710ebe0bae67db86916198a6eec434943f8b,sha256:28bd5fe8b56d1bd048e5babf5b10710ebe0bae67db86916198a6eec434943f8b,3857242,3.68,1,Cleanup,2026-09-10T14:00:25.909+06:00,2026-09-10T14:00:26.123+06:00,214,2361433009,2362297725,864716,0.864716,2.334638,0.499781,0.364935,4.039369,0.00,0.00,0.00,0.00,29.7.2,false,Error response from daemon: No such container: greencontainers-exp-1789027194-t1-alpine:latest
exp-1789027194,exp-1789027194-t2-ubuntu:latest,ubuntu,latest,sha256:513c074113a871b51a8d16ab445c88779d6452d937a164fb5cc479f32668a41d,sha256:513c074113a871b51a8d16ab445c88779d6452d937a164fb5cc479f32668a41d,41615567,39.69,2,Pull,2026-09-10T14:00:26.123+06:00,2026-09-10T14:00:39.162+06:00,13038,2362297725,2404435881,42138156,42.138156,2.334638,30.441227,11.696929,3.231714,3.07,9.97,4391.96,4422.40,29.7.2,true,
exp-1789027194,exp-1789027194-t2-ubuntu:latest,ubuntu,latest,sha256:513c074113a871b51a8d16ab445c88779d6452d937a164fb5cc479f32668a41d,sha256:513c074113a871b51a8d16ab445c88779d6452d937a164fb5cc479f32668a41d,41615567,39.69,2,Start,2026-09-10T14:00:39.179+06:00,2026-09-10T14:00:39.192+06:00,13,2404683076,2404932148,249072,0.249072,2.334638,0.032185,0.216887,18.067116,0.00,0.00,0.00,0.00,29.7.2,false,"Error response from daemon: Invalid container name (greencontainers-exp-1789027194-t2-ubuntu:latest), only [a-zA-Z0-9][a-zA-Z0-9_.-] are allowed"
