experiment_id,trial_id,trial_number,base_image,image,image_tag,image_digest,image_id,image_size_bytes,image_size_mb,image_layers,stage,stage_name,stage_type,started_at,finished_at,duration_ms,rapl_before_uj,rapl_after_uj,energy_raw_uj,energy_raw_j,baseline_power_w,background_energy_j,energy_corrected_j,average_power_w,cpu_avg_percent,cpu_peak_percent,memory_avg_mb,memory_peak_mb,k6_rate_target,k6_throughput_actual,k6_avg_latency_ms,k6_p95_latency_ms,k6_p99_latency_ms,docker_version,success,error
cpu-api-debian-slim,cpu-api-debian-slim-pull,0,debian:bookworm-slim,,,,,0,0.00,0,Pull,pull,pull,2026-09-19T03:36:28.174+06:00,2026-09-19T03:36:32.503+06:00,4328,18221849365,18350272792,128423427,128.423427,25.015999,108.288512,20.134915,29.667417,2.07,2.92,3900.35,3902.77,,,,,,29.1.3,true,
cpu-api-debian-slim,cpu-api-debian-slim-build,0,debian:bookworm-slim,,,,,0,0.00,0,Build,build,build,2026-09-19T03:36:32.503+06:00,2026-09-19T03:36:49.384+06:00,16880,18350272792,19206403063,856130271,856.130271,25.015999,422.286251,433.844020,50.716675,25.98,81.81,4163.60,4567.01,,,,,,29.1.3,true,
cpu-api-debian-slim,cpu-api-debian-slim-t1,1,debian:bookworm-slim,green-cpu-api,debian-slim,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,33762403,32.20,2,Start,start,start,2026-09-19T03:36:49.391+06:00,2026-09-19T03:36:49.717+06:00,325,19206816357,19221492539,14676182,14.676182,25.015999,8.153584,6.522598,45.027973,0.00,0.00,0.00,0.00,,,,,,29.1.3,true,
cpu-api-debian-slim,cpu-api-debian-slim-t1,1,debian:bookworm-slim,green-cpu-api,debian-slim,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,33762403,32.20,2,Idle,idle,idle,2026-09-19T03:36:50.218+06:00,2026-09-19T03:37:50.219+06:00,60000,19238985500,20734839630,1495854130,1495.854130,25.015999,1500.970724,0.000000,24.930724,1.47,3.42,3925.61,4036.52,,,,,,29.1.3,true,
cpu-api-debian-slim,cpu-api-debian-slim-t1,1,debian:bookworm-slim,green-cpu-api,debian-slim,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,33762403,32.20,2,Workload,light-load,k6,2026-09-19T03:38:00.228+06:00,2026-09-19T03:39:02.032+06:00,61804,20995223610,23312867807,2317644197,2317.644197,25.015999,1546.089916,771.554281,37.499880,6.05,9.97,3958.30,3999.65,100,0.00,0.000,0.000,0.000,29.1.3,true,
cpu-api-debian-slim,cpu-api-debian-slim-t1,1,debian:bookworm-slim,green-cpu-api,debian-slim,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,33762403,32.20,2,Workload,medium-load,k6,2026-09-19T03:39:12.041+06:00,2026-09-19T03:40:22.111+06:00,70070,23554912099,27149526558,3594614459,3594.614459,25.015999,1752.876652,1841.737807,51.300172,97.42,100.00,6096.35,6587.32,10000,0.00,0.000,0.000,0.000,29.1.3,true,
cpu-api-debian-slim,cpu-api-debian-slim-t1,1,debian:bookworm-slim,green-cpu-api,debian-slim,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,33762403,32.20,2,Workload,heavy-load,k6,2026-09-19T03:40:32.112+06:00,2026-09-19T03:42:06.495+06:00,94383,27422034469,33479147375,6057112906,6057.112906,25.015999,2361.092036,3696.020870,64.175700,92.16,100.00,9466.79,11197.28,50000,0.00,0.000,0.000,0.000,29.1.3,true,
cpu-api-debian-slim,cpu-api-debian-slim-t1,1,debian:bookworm-slim,green-cpu-api,debian-slim,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,33762403,32.20,2,Stop,stop,stop,2026-09-19T03:42:06.495+06:00,2026-09-19T03:42:07.721+06:00,1225,33479147375,33542052065,62904690,62.904690,25.015999,30.663578,32.241112,51.318984,19.59,19.59,4358.40,4358.40,,,,,,29.1.3,true,
cpu-api-debian-slim,cpu-api-debian-slim-t1,1,debian:bookworm-slim,green-cpu-api,debian-slim,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,33762403,32.20,2,Cleanup,cleanup,cleanup,2026-09-19T03:42:07.721+06:00,2026-09-19T03:42:07.757+06:00,35,33542085267,33543993463,1908196,1.908196,25.015999,0.896427,1.011769,53.250775,0.00,0.00,0.00,0.00,,,,,,29.1.3,true,
cpu-api-debian-slim,cpu-api-debian-slim-t2,2,debian:bookworm-slim,green-cpu-api,debian-slim,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,sha256:7efd1feb97d5c9bdc09b6681846369611e8d5133785911632c73b003a4d0c213,33762403,32.20,2,Start,start,start,2026-09-19T03:42:07.757+06:00,2026-09-19T03:42:08.362+06:00,604,33543993463,33571295197,27301734,27.301734,25.015999,15.122075,12.179659,45.164448,0.00,0.00,0.00,0.00,,,,,,29.1.3,true,
