experiment_id,trial_id,trial_number,base_image,image,image_tag,image_digest,image_id,image_size_bytes,image_size_mb,image_layers,stage,stage_name,stage_type,started_at,finished_at,duration_ms,rapl_before_uj,rapl_after_uj,energy_raw_uj,energy_raw_j,baseline_power_w,background_energy_j,energy_corrected_j,average_power_w,cpu_avg_percent,cpu_peak_percent,memory_avg_mb,memory_peak_mb,k6_rate_target,k6_throughput_actual,k6_avg_latency_ms,k6_p95_latency_ms,k6_p99_latency_ms,docker_version,success,error
cpu-api-distroless,cpu-api-distroless-pull,0,gcr.io/distroless/static-debian12,,,,,0,0.00,0,Pull,pull,pull,2026-09-19T03:58:02.596+06:00,2026-09-19T03:58:07.722+06:00,5125,5229061306,5377934741,148873435,148.873435,23.721122,121.584341,27.289094,29.045229,2.25,4.67,3944.74,3954.91,,,,,,29.1.3,true,
cpu-api-distroless,cpu-api-distroless-build,0,gcr.io/distroless/static-debian12,,,,,0,0.00,0,Build,build,build,2026-09-19T03:58:07.722+06:00,2026-09-19T03:58:24.431+06:00,16709,5377934741,6212137084,834202343,834.202343,23.721122,396.359208,437.843135,49.924956,25.69,79.93,4161.17,4500.52,,,,,,29.1.3,true,
cpu-api-distroless,cpu-api-distroless-t1,1,gcr.io/distroless/static-debian12,green-cpu-api,distroless,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,6249649,5.96,13,Start,start,start,2026-09-19T03:58:24.444+06:00,2026-09-19T03:58:24.814+06:00,369,6212918172,6229568419,16650247,16.650247,23.721122,8.766482,7.883765,45.053711,0.00,0.00,0.00,0.00,,,,,,29.1.3,true,
cpu-api-distroless,cpu-api-distroless-t1,1,gcr.io/distroless/static-debian12,green-cpu-api,distroless,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,6249649,5.96,13,Idle,idle,idle,2026-09-19T03:58:25.315+06:00,2026-09-19T03:59:25.316+06:00,60000,6247215699,7686786348,1439570649,1439.570649,23.721122,1423.287501,16.283148,23.992504,1.35,3.34,3934.99,4062.07,,,,,,29.1.3,true,
cpu-api-distroless,cpu-api-distroless-t1,1,gcr.io/distroless/static-debian12,green-cpu-api,distroless,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,6249649,5.96,13,Workload,light-load,k6,2026-09-19T03:59:35.325+06:00,2026-09-19T04:00:37.288+06:00,61963,7936823421,10287412585,2350589164,2350.589164,23.721122,1469.839294,880.749870,37.935177,5.93,11.30,3973.85,4032.85,100,0.00,0.000,0.000,0.000,29.1.3,true,
cpu-api-distroless,cpu-api-distroless-t1,1,gcr.io/distroless/static-debian12,green-cpu-api,distroless,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,6249649,5.96,13,Workload,medium-load,k6,2026-09-19T04:00:47.297+06:00,2026-09-19T04:01:57.529+06:00,70231,10539837015,14215924190,3676087175,3676.087175,23.721122,1665.969639,2010.117536,52.342439,97.50,100.00,6119.17,6802.06,10000,0.00,0.000,0.000,0.000,29.1.3,true,
cpu-api-distroless,cpu-api-distroless-t1,1,gcr.io/distroless/static-debian12,green-cpu-api,distroless,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,6249649,5.96,13,Workload,heavy-load,k6,2026-09-19T04:02:07.538+06:00,2026-09-19T04:04:01.092+06:00,113554,14483157761,21481716381,6998558620,6998.558620,23.721122,2693.634297,4304.924323,61.631850,78.40,100.00,10050.49,11477.80,50000,0.00,0.000,0.000,0.000,29.1.3,true,
cpu-api-distroless,cpu-api-distroless-t1,1,gcr.io/distroless/static-debian12,green-cpu-api,distroless,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,6249649,5.96,13,Stop,stop,stop,2026-09-19T04:04:01.092+06:00,2026-09-19T04:04:02.36+06:00,1268,21481716381,21546812730,65096349,65.096349,23.721122,30.088792,35.007557,51.320055,18.80,18.80,4286.64,4286.64,,,,,,29.1.3,true,
cpu-api-distroless,cpu-api-distroless-t1,1,gcr.io/distroless/static-debian12,green-cpu-api,distroless,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,6249649,5.96,13,Cleanup,cleanup,cleanup,2026-09-19T04:04:02.36+06:00,2026-09-19T04:04:02.39+06:00,29,21546812730,21548222203,1409473,1.409473,23.721122,0.691211,0.718262,48.370577,0.00,0.00,0.00,0.00,,,,,,29.1.3,true,
cpu-api-distroless,cpu-api-distroless-t2,2,gcr.io/distroless/static-debian12,green-cpu-api,distroless,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,sha256:836427b3ea93652e512377834f3186caaf27b6e5901936adfddae9774d14f026,6249649,5.96,13,Start,start,start,2026-09-19T04:04:02.39+06:00,2026-09-19T04:04:02.946+06:00,556,21548222203,21573889791,25667588,25.667588,23.721122,13.202553,12.465035,46.117139,0.00,0.00,0.00,0.00,,,,,,29.1.3,true,
