experiment_id,trial_id,trial_number,base_image,image,image_tag,image_digest,image_id,image_size_bytes,image_size_mb,image_layers,stage,stage_name,stage_type,started_at,finished_at,duration_ms,rapl_before_uj,rapl_after_uj,energy_raw_uj,energy_raw_j,baseline_power_w,background_energy_j,energy_corrected_j,average_power_w,cpu_avg_percent,cpu_peak_percent,memory_avg_mb,memory_peak_mb,k6_rate_target,k6_throughput_actual,k6_avg_latency_ms,k6_p95_latency_ms,k6_p99_latency_ms,docker_version,success,error
cpu-api-scratch,cpu-api-scratch-build,0,scratch,,,,,0,0.00,0,Build,build,build,2026-09-19T04:20:42.225+06:00,2026-09-19T04:20:58.309+06:00,16084,60680542803,61485214385,804671582,804.671582,24.322772,391.212490,413.459092,50.028677,25.67,80.17,4323.91,4643.88,,,,,,29.1.3,true,
cpu-api-scratch,cpu-api-scratch-t1,1,scratch,green-cpu-api,scratch,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,5529317,5.27,1,Start,start,start,2026-09-19T04:20:58.316+06:00,2026-09-19T04:20:58.881+06:00,565,61485633202,61509016972,23383770,23.383770,24.322772,13.751728,9.632042,41.359029,0.00,0.00,0.00,0.00,,,,,,29.1.3,true,
cpu-api-scratch,cpu-api-scratch-t1,1,scratch,green-cpu-api,scratch,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,5529317,5.27,1,Idle,idle,idle,2026-09-19T04:20:59.383+06:00,2026-09-19T04:21:59.384+06:00,60000,61526910700,62955039680,1428128980,1428.128980,24.322772,1459.389416,0.000000,23.801773,1.31,3.84,3980.17,4225.63,,,,,,29.1.3,true,
cpu-api-scratch,cpu-api-scratch-t1,1,scratch,green-cpu-api,scratch,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,5529317,5.27,1,Workload,light-load,k6,2026-09-19T04:22:09.393+06:00,2026-09-19T04:23:11.187+06:00,61793,63212067113,65506655343,2294588230,2294.588230,24.322772,1502.996220,791.592010,37.132991,5.78,12.40,4023.77,4161.52,100,0.00,0.000,0.000,0.000,29.1.3,true,
cpu-api-scratch,cpu-api-scratch-t1,1,scratch,green-cpu-api,scratch,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,5529317,5.27,1,Workload,medium-load,k6,2026-09-19T04:23:21.196+06:00,2026-09-19T04:24:30.532+06:00,69336,225620991,3804371312,3578750321,3578.750321,24.322772,1686.457683,1892.292638,51.614178,97.35,100.00,6072.61,6749.52,10000,0.00,0.000,0.000,0.000,29.1.3,true,
cpu-api-scratch,cpu-api-scratch-t1,1,scratch,green-cpu-api,scratch,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,5529317,5.27,1,Workload,heavy-load,k6,2026-09-19T04:24:40.542+06:00,2026-09-19T04:26:55.521+06:00,134978,4095721525,12233323519,8137601994,8137.601994,24.322772,3283.062519,4854.539475,60.287927,69.08,100.00,10329.00,11561.77,50000,0.00,0.000,0.000,0.000,29.1.3,true,
cpu-api-scratch,cpu-api-scratch-t1,1,scratch,green-cpu-api,scratch,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,5529317,5.27,1,Stop,stop,stop,2026-09-19T04:26:55.521+06:00,2026-09-19T04:26:56.814+06:00,1293,12233400495,12299695147,66294652,66.294652,24.322772,31.462049,34.832603,51.251260,18.35,18.35,4341.93,4341.93,,,,,,29.1.3,true,
cpu-api-scratch,cpu-api-scratch-t1,1,scratch,green-cpu-api,scratch,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,5529317,5.27,1,Cleanup,cleanup,cleanup,2026-09-19T04:26:56.814+06:00,2026-09-19T04:26:56.844+06:00,29,12299695147,12301156452,1461305,1.461305,24.322772,0.712947,0.748358,49.853590,0.00,0.00,0.00,0.00,,,,,,29.1.3,true,
cpu-api-scratch,cpu-api-scratch-t2,2,scratch,green-cpu-api,scratch,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,5529317,5.27,1,Start,start,start,2026-09-19T04:26:56.844+06:00,2026-09-19T04:26:57.455+06:00,610,12301156452,12328597949,27441497,27.441497,24.322772,14.856114,12.585383,44.927850,0.00,0.00,0.00,0.00,,,,,,29.1.3,true,
cpu-api-scratch,cpu-api-scratch-t2,2,scratch,green-cpu-api,scratch,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,sha256:902f33889d92f2b1bc75a3627d81eab328ec6b57cbc3dc509a394ae2bc73a9eb,5529317,5.27,1,Idle,idle,idle,2026-09-19T04:26:57.956+06:00,2026-09-19T04:27:57.957+06:00,60001,12347782062,13771016824,1423234762,1423.234762,24.322772,1459.391274,0.000000,23.720173,1.19,3.42,4076.39,4416.35,,,,,,29.1.3,true,
