experiment_id,trial_id,trial_number,base_image,image,image_tag,image_digest,image_id,image_size_bytes,image_size_mb,image_layers,stage,stage_name,stage_type,started_at,finished_at,duration_ms,rapl_before_uj,rapl_after_uj,energy_raw_uj,energy_raw_j,baseline_power_w,background_energy_j,energy_corrected_j,average_power_w,cpu_avg_percent,cpu_peak_percent,memory_avg_mb,memory_peak_mb,k6_rate_target,k6_throughput_actual,k6_avg_latency_ms,k6_p95_latency_ms,k6_p99_latency_ms,docker_version,success,error
simple-api-debian-slim,simple-api-debian-slim-pull,0,debian:bookworm-slim,,,,,0,0.00,0,Pull,pull,pull,2026-09-18T22:45:20.583+06:00,2026-09-18T22:45:35.816+06:00,15232,29865651308,30004228034,138576726,138.576726,6.929548,105.554150,33.022576,9.097455,8.47,13.02,3649.83,3690.49,,,,,,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-build,0,debian:bookworm-slim,,,,,0,0.00,0,Build,build,build,2026-09-18T22:45:35.816+06:00,2026-09-18T22:45:58.306+06:00,22489,30004228034,30401166873,396938839,396.938839,6.929548,155.843720,241.095119,17.649777,32.93,96.50,3752.34,3973.84,,,,,,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t1,1,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Start,start,start,2026-09-18T22:45:58.315+06:00,2026-09-18T22:45:58.537+06:00,222,30401407674,30405375181,3967507,3.967507,6.929548,1.541558,2.425949,17.834577,0.00,0.00,0.00,0.00,,,,,,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t1,1,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Idle,idle,idle,2026-09-18T22:45:59.041+06:00,2026-09-18T22:46:59.042+06:00,60001,30409693241,30826055330,416362089,416.362089,6.929548,415.779971,0.582118,6.939250,7.34,8.86,3652.91,3698.48,,,,,,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t1,1,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Workload,light-load,k6,2026-09-18T22:47:09.052+06:00,2026-09-18T22:48:09.888+06:00,60836,30894597791,31420878955,526281164,526.281164,6.929548,421.566278,104.714886,8.650812,8.77,18.75,3710.39,3755.82,100,0.00,0.000,0.000,0.000,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t1,1,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Workload,medium-load,k6,2026-09-18T22:48:19.897+06:00,2026-09-18T22:49:20.624+06:00,60727,31491651296,33004488313,1512837017,1512.837017,6.929548,420.812843,1092.024174,24.911970,47.24,49.13,3842.04,3908.84,10000,0.00,0.000,0.000,0.000,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t1,1,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Workload,heavy-load,k6,2026-09-18T22:49:30.634+06:00,2026-09-18T22:50:31.681+06:00,61047,33077655442,34548863859,1471208417,1471.208417,6.929548,423.031647,1048.176770,24.099402,96.69,99.08,4616.44,5112.71,50000,0.00,0.000,0.000,0.000,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t1,1,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Stop,stop,stop,2026-09-18T22:50:31.681+06:00,2026-09-18T22:50:31.992+06:00,310,34548863859,34554122178,5258319,5.258319,6.929548,2.153495,3.104824,16.920296,0.00,0.00,0.00,0.00,,,,,,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t1,1,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Cleanup,cleanup,cleanup,2026-09-18T22:50:31.992+06:00,2026-09-18T22:50:32.02+06:00,28,34554122178,34554563623,441445,0.441445,6.929548,0.194183,0.247262,15.753280,0.00,0.00,0.00,0.00,,,,,,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t2,2,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Start,start,start,2026-09-18T22:50:32.02+06:00,2026-09-18T22:50:32.256+06:00,235,34554580117,34558639706,4059589,4.059589,6.929548,1.632322,2.427267,17.233802,0.00,0.00,0.00,0.00,,,,,,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t2,2,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Idle,idle,idle,2026-09-18T22:50:32.759+06:00,2026-09-18T22:51:32.76+06:00,60001,34562819803,34988398044,425578241,425.578241,6.929548,415.781686,9.796555,7.092821,7.32,8.81,3641.08,3658.04,,,,,,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t2,2,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Workload,light-load,k6,2026-09-18T22:51:42.769+06:00,2026-09-18T22:52:43.284+06:00,60515,35063965273,35570523305,506558032,506.558032,6.929548,419.345187,87.212845,8.370713,8.35,10.32,3653.46,3661.12,100,0.00,0.000,0.000,0.000,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t2,2,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Workload,medium-load,k6,2026-09-18T22:52:53.293+06:00,2026-09-18T22:53:53.804+06:00,60510,35639675765,37035682856,1396007091,1396.007091,6.929548,419.307659,976.699432,23.070646,47.02,51.08,3754.34,3810.09,10000,0.00,0.000,0.000,0.000,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t2,2,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Workload,heavy-load,k6,2026-09-18T22:54:03.813+06:00,2026-09-18T22:55:04.868+06:00,61055,37105473756,38476677137,1371203381,1371.203381,6.929548,423.084207,948.119174,22.458461,96.91,99.00,4652.14,5142.76,50000,0.00,0.000,0.000,0.000,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t2,2,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Stop,stop,stop,2026-09-18T22:55:04.868+06:00,2026-09-18T22:55:05.211+06:00,342,38476677137,38481768076,5090939,5.090939,6.929548,2.372873,2.718066,14.867172,0.00,0.00,0.00,0.00,,,,,,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t2,2,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Cleanup,cleanup,cleanup,2026-09-18T22:55:05.211+06:00,2026-09-18T22:55:05.238+06:00,26,38481779122,38482134588,355466,0.355466,6.929548,0.185594,0.169872,13.272117,0.00,0.00,0.00,0.00,,,,,,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t3,3,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Start,start,start,2026-09-18T22:55:05.238+06:00,2026-09-18T22:55:05.46+06:00,222,38482152272,38486027453,3875181,3.875181,6.929548,1.541125,2.334056,17.424444,0.00,0.00,0.00,0.00,,,,,,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t3,3,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Idle,idle,idle,2026-09-18T22:55:05.963+06:00,2026-09-18T22:56:05.963+06:00,60000,38489360090,38862200092,372840002,372.840002,6.929548,415.776492,0.000000,6.213946,7.20,7.73,3626.50,3653.91,,,,,,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t3,3,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Workload,light-load,k6,2026-09-18T22:56:15.972+06:00,2026-09-18T22:57:16.51+06:00,60537,38939515354,39507245195,567729841,567.729841,6.929548,419.500525,148.229316,9.378084,8.62,12.55,3731.48,3738.82,100,0.00,0.000,0.000,0.000,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t3,3,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Workload,medium-load,k6,2026-09-18T22:57:26.52+06:00,2026-09-18T22:58:27.01+06:00,60490,39578177058,40982643596,1404466538,1404.466538,6.929548,419.172091,985.294447,23.217955,47.19,51.36,3839.90,3900.28,10000,0.00,0.000,0.000,0.000,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t3,3,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Workload,heavy-load,k6,2026-09-18T22:58:37.019+06:00,2026-09-18T22:59:38.01+06:00,60990,41057028421,42464588045,1407559624,1407.559624,6.929548,422.640010,984.919614,23.078157,98.08,99.17,4696.60,5186.64,50000,0.00,0.000,0.000,0.000,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t3,3,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Stop,stop,stop,2026-09-18T22:59:38.01+06:00,2026-09-18T22:59:38.342+06:00,331,42464588045,42469922120,5334075,5.334075,6.929548,2.299356,3.034719,16.075256,0.00,0.00,0.00,0.00,,,,,,29.7.2,true,
simple-api-debian-slim,simple-api-debian-slim-t3,3,debian:bookworm-slim,green-simple-api,debian-slim,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,sha256:ab4fbee6bc951f4bac6dd19ecdf41f9bae3f15252e199a1a68185deed257b36b,33779172,32.21,2,Cleanup,cleanup,cleanup,2026-09-18T22:59:38.342+06:00,2026-09-18T22:59:38.372+06:00,29,42469922120,42470374474,452354,0.452354,6.929548,0.203589,0.248765,15.396761,0.00,0.00,0.00,0.00,,,,,,29.7.2,true,
