experiment_id,trial_id,trial_number,base_image,image,image_tag,image_digest,image_id,image_size_bytes,image_size_mb,image_layers,stage,stage_name,stage_type,started_at,finished_at,duration_ms,rapl_before_uj,rapl_after_uj,energy_raw_uj,energy_raw_j,baseline_power_w,background_energy_j,energy_corrected_j,average_power_w,cpu_avg_percent,cpu_peak_percent,memory_avg_mb,memory_peak_mb,k6_rate_target,k6_throughput_actual,k6_avg_latency_ms,k6_p95_latency_ms,k6_p99_latency_ms,docker_version,success,error
simple-api-distroless,simple-api-distroless-pull,0,gcr.io/distroless/static-debian12,,,,,0,0.00,0,Pull,pull,pull,2026-09-18T23:49:18.651+06:00,2026-09-18T23:49:30.374+06:00,11722,10504778877,10598822414,94043537,94.043537,7.069078,82.870186,11.173351,8.022199,8.20,10.60,3674.14,3688.20,,,,,,29.7.2,true,
simple-api-distroless,simple-api-distroless-build,0,gcr.io/distroless/static-debian12,,,,,0,0.00,0,Build,build,build,2026-09-18T23:49:30.374+06:00,2026-09-18T23:49:53.143+06:00,22769,10598822414,10982040664,383218250,383.218250,7.069078,160.958963,222.259287,16.830375,33.45,96.67,3785.51,4067.76,,,,,,29.7.2,true,
simple-api-distroless,simple-api-distroless-t1,1,gcr.io/distroless/static-debian12,green-simple-api,distroless,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,6266418,5.98,13,Start,start,start,2026-09-18T23:49:53.162+06:00,2026-09-18T23:49:53.37+06:00,207,10982548572,10986106554,3557982,3.557982,7.069078,1.467776,2.090206,17.135892,0.00,0.00,0.00,0.00,,,,,,29.7.2,true,
simple-api-distroless,simple-api-distroless-t1,1,gcr.io/distroless/static-debian12,green-simple-api,distroless,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,6266418,5.98,13,Idle,idle,idle,2026-09-18T23:49:53.873+06:00,2026-09-18T23:50:53.874+06:00,60001,10990147407,11381237991,391090584,391.090584,7.069078,424.153363,0.000000,6.518043,7.35,8.07,3714.35,3750.15,,,,,,29.7.2,true,
simple-api-distroless,simple-api-distroless-t1,1,gcr.io/distroless/static-debian12,green-simple-api,distroless,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,6266418,5.98,13,Workload,light-load,k6,2026-09-18T23:51:03.883+06:00,2026-09-18T23:52:04.394+06:00,60511,11448680594,11944305277,495624683,495.624683,7.069078,427.758914,67.865769,8.190617,8.39,9.73,3744.79,3748.91,100,0.00,0.000,0.000,0.000,29.7.2,true,
simple-api-distroless,simple-api-distroless-t1,1,gcr.io/distroless/static-debian12,green-simple-api,distroless,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,6266418,5.98,13,Workload,medium-load,k6,2026-09-18T23:52:14.404+06:00,2026-09-18T23:53:15.02+06:00,60616,12008973884,13426129539,1417155655,1417.155655,7.069078,428.499663,988.655992,23.379211,46.35,48.39,3831.38,3897.59,10000,0.00,0.000,0.000,0.000,29.7.2,true,
simple-api-distroless,simple-api-distroless-t1,1,gcr.io/distroless/static-debian12,green-simple-api,distroless,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,6266418,5.98,13,Workload,heavy-load,k6,2026-09-18T23:53:25.026+06:00,2026-09-18T23:54:26.034+06:00,61008,13494966769,14879386263,1384419494,1384.419494,7.069078,431.271186,953.148308,22.692380,96.89,99.25,4683.54,5174.76,50000,0.00,0.000,0.000,0.000,29.7.2,true,
simple-api-distroless,simple-api-distroless-t1,1,gcr.io/distroless/static-debian12,green-simple-api,distroless,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,6266418,5.98,13,Stop,stop,stop,2026-09-18T23:54:26.035+06:00,2026-09-18T23:54:26.404+06:00,369,14879386263,14884914939,5528676,5.528676,7.069078,2.610298,2.918378,14.972482,0.00,0.00,0.00,0.00,,,,,,29.7.2,true,
simple-api-distroless,simple-api-distroless-t1,1,gcr.io/distroless/static-debian12,green-simple-api,distroless,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,6266418,5.98,13,Cleanup,cleanup,cleanup,2026-09-18T23:54:26.404+06:00,2026-09-18T23:54:26.433+06:00,28,14884914939,14885427867,512928,0.512928,7.069078,0.203440,0.309488,17.823086,0.00,0.00,0.00,0.00,,,,,,29.7.2,true,
simple-api-distroless,simple-api-distroless-t2,2,gcr.io/distroless/static-debian12,green-simple-api,distroless,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,sha256:1347a7fce5c1857f0843d90c8dc051a70c5ac030fe4533bcae23ef1b85f4d82c,6266418,5.98,13,Start,start,start,2026-09-18T23:54:26.433+06:00,2026-09-18T23:54:26.675+06:00,242,14885427867,14889749527,4321660,4.321660,7.069078,1.712609,2.609051,17.838371,0.00,0.00,0.00,0.00,,,,,,29.7.2,true,
